,frame,id,x,y,w,h,confidence,class,visibility
0,1,1,902.18,877.34,354.0200000000001,453.94999999999993,1,1,1.0
1,1,2,2903.55,1248.49,371.1499999999997,256.95000000000005,1,1,1.0
2,1,3,1424.65,1085.76,214.1199999999999,148.46000000000004,1,1,1.0
3,1,4,1458.91,997.25,196.99,162.74,1,1,1.0
4,2,1,899.32,881.62,354.02999999999986,456.2399999999999,1,1,1.0
5,2,2,2886.99,1237.07,366.8700000000004,254.67000000000007,1,1,1.0
6,2,3,1422.65,1093.75,214.1199999999999,149.31999999999994,1,1,1.0
7,2,4,1457.76,1002.96,197.0,162.74,1,1,1.0
8,3,1,896.47,885.9,354.02,458.5300000000001,1,1,1.0
9,3,2,2870.43,1225.65,362.5800000000004,252.38999999999987,1,1,1.0
10,3,3,1420.65,1101.74,214.12999999999988,150.17000000000007,1,1,1.0
11,3,4,1456.62,1008.67,197.0,162.74000000000012,1,1,1.0
12,4,1,893.61,890.19,354.0300000000001,460.81,1,1,1.0
13,4,2,2853.87,1214.23,358.3000000000002,250.0999999999999,1,1,1.0
14,4,3,1418.65,1109.74,214.12999999999988,151.01999999999998,1,1,1.0
15,4,4,1455.48,1014.38,197.0,162.7399999999999,1,1,1.0
16,5,1,890.76,894.47,354.02,463.0999999999999,1,1,1.0
17,5,2,2837.32,1202.81,354.00999999999976,247.82000000000016,1,1,1.0
18,5,3,1416.65,1117.73,214.12999999999988,151.87999999999988,1,1,1.0
19,5,4,1454.34,1020.09,196.99,162.7399999999999,1,1,1.0
20,6,1,887.9,898.75,354.0300000000001,465.3900000000001,1,1,1.0
21,6,2,2820.76,1191.39,349.7299999999996,245.53,1,1,1.0
22,6,3,1414.65,1125.73,214.12999999999988,152.73000000000002,1,1,1.0
23,6,4,1453.2,1025.8,196.99,162.74,1,1,1.0
24,7,1,885.05,903.03,354.02,467.69000000000005,1,1,1.0
25,7,2,2804.2,1179.97,345.4500000000003,243.25,1,1,1.0
26,7,3,1412.66,1133.72,214.1199999999999,153.58999999999992,1,1,1.0
27,7,4,1452.05,1031.51,197.0,162.74,1,1,1.0
28,8,1,882.19,907.32,354.03,469.9699999999999,1,1,1.0
29,8,2,2787.65,1168.55,341.15999999999985,240.97000000000003,1,1,1.0
30,8,3,1410.66,1141.71,214.1199999999999,154.45000000000005,1,1,1.0
31,8,4,1450.91,1037.22,197.0,162.74,1,1,1.0
32,9,1,879.34,911.6,354.01999999999987,472.2599999999999,1,1,1.0
33,9,2,2771.09,1157.13,336.8699999999999,238.67999999999984,1,1,1.0
34,9,3,1408.66,1149.71,214.12999999999988,155.28999999999996,1,1,1.0
35,9,4,1449.77,1042.93,197.0,162.74,1,1,1.0
36,10,1,876.48,915.88,354.03,474.55000000000007,1,1,1.0
37,10,2,2754.53,1145.71,332.5899999999997,236.39999999999984,1,1,1.0
38,10,3,1406.66,1157.7,214.12999999999988,156.14999999999986,1,1,1.0
39,10,4,1448.63,1048.64,196.98999999999975,162.74,1,1,1.0
40,11,1,873.63,920.17,354.0200000000001,476.83,1,1,1.0
41,11,2,2737.97,1134.29,328.3100000000004,234.11000000000013,1,1,1.0
42,11,3,1404.66,1165.7,214.12999999999988,157.0,1,1,1.0
43,11,4,1447.49,1054.35,196.99,162.74,1,1,1.0
44,12,1,867.06,925.02,354.02,479.4000000000001,1,1,1.0
45,12,2,2726.84,1128.3,321.4499999999998,232.11000000000013,1,1,1.0
46,12,3,1403.24,1176.26,215.26,157.8599999999999,1,1,1.0
47,12,4,1446.91,1062.06,197.0,164.74,1,1,1.0
48,13,1,860.49,929.87,354.03,481.9699999999999,1,1,1.0
49,13,2,2715.7,1122.31,314.6000000000004,230.1000000000001,1,1,1.0
50,13,3,1401.81,1186.82,216.4000000000001,158.72000000000003,1,1,1.0
51,13,4,1446.34,1069.77,197.0,166.74,1,1,1.0
52,14,1,853.93,934.73,354.0200000000001,484.53,1,1,1.0
53,14,2,2704.57,1116.32,307.75,228.1000000000001,1,1,1.0
54,14,3,1400.38,1197.39,217.54,159.56999999999994,1,1,1.0
55,14,4,1445.77,1077.48,197.0,168.74,1,1,1.0
56,15,1,847.36,939.58,354.0200000000001,487.1,1,1,1.0
57,15,2,2693.44,1110.33,300.8899999999999,226.1000000000001,1,1,1.0
58,15,3,1398.95,1207.95,218.6800000000001,160.43000000000006,1,1,1.0
59,15,4,1445.2,1085.18,197.0,170.75,1,1,1.0
60,16,1,840.79,944.43,354.03,489.67,1,1,1.0
61,16,2,2682.3,1104.34,294.04,224.09000000000012,1,1,1.0
62,16,3,1397.53,1218.51,219.80999999999997,161.28999999999996,1,1,1.0
63,16,4,1444.63,1092.89,197.0,172.75,1,1,1.0
64,17,1,834.23,949.29,354.02,492.23,1,1,1.0
65,17,2,2671.17,1098.35,287.17999999999984,222.09000000000012,1,1,1.0
66,17,3,1396.1,1229.08,220.96000000000004,162.1400000000001,1,1,1.0
67,17,4,1444.06,1100.6,197.0,174.75,1,1,1.0
68,18,1,827.66,954.14,354.0200000000001,494.80000000000007,1,1,1.0
69,18,2,2660.03,1092.35,280.3299999999999,220.09000000000012,1,1,1.0
70,18,3,1394.67,1239.64,222.0999999999999,163.0,1,1,1.0
71,18,4,1443.49,1108.31,196.99,176.76,1,1,1.0
72,19,1,821.1,958.99,354.01999999999987,497.3699999999999,1,1,1.0
73,19,2,2648.9,1086.36,273.48,218.09000000000012,1,1,1.0
74,19,3,1393.24,1250.2,223.24,163.8599999999999,1,1,1.0
75,19,4,1442.92,1116.02,196.99,178.76,1,1,1.0
76,20,1,814.53,963.85,354.02,499.93,1,1,1.0
77,20,2,2637.76,1080.37,266.62999999999965,216.09000000000012,1,1,1.0
78,20,3,1391.82,1260.77,224.3700000000001,164.71000000000004,1,1,1.0
79,20,4,1442.35,1123.73,196.99,180.76,1,1,1.0
80,21,1,807.96,968.7,354.02,502.5,1,1,1.0
81,21,2,2626.63,1074.38,259.77,214.07999999999996,1,1,1.0
82,21,3,1390.39,1271.33,225.51,165.57000000000016,1,1,1.0
83,21,4,1441.77,1131.44,197.0,182.76,1,1,1.0
84,22,1,798.54,970.13,362.59000000000015,513.63,1,1,1.0
85,22,2,2617.78,1067.24,254.3499999999999,211.79999999999995,1,1,1.0
86,22,3,1384.11,1283.9,233.22000000000003,170.69999999999982,1,1,1.0
87,22,4,1438.35,1142.0,202.70000000000005,186.19000000000003,1,1,1.0
88,23,1,789.12,971.56,371.15,524.76,1,1,1.0
89,23,2,2608.92,1060.1,248.94000000000003,209.51,1,1,1.0
90,23,3,1377.83,1296.47,240.9300000000001,175.82999999999993,1,1,1.0
91,23,4,1434.92,1152.56,208.41999999999985,189.6200000000001,1,1,1.0
92,24,1,779.69,973.0,379.73,535.8900000000001,1,1,1.0
93,24,2,2600.07,1052.97,243.52,207.21000000000004,1,1,1.0
94,24,3,1371.54,1309.03,248.6500000000001,180.97000000000003,1,1,1.0
95,24,4,1431.5,1163.13,214.1199999999999,193.04,1,1,1.0
96,25,1,770.27,974.43,388.29,547.0200000000001,1,1,1.0
97,25,2,2591.22,1045.83,238.1000000000004,204.9300000000001,1,1,1.0
98,25,3,1365.26,1321.6,256.3599999999999,186.1000000000001,1,1,1.0
99,25,4,1428.07,1173.69,219.83000000000013,196.47000000000003,1,1,1.0
100,26,1,760.85,975.86,396.86,558.15,1,1,1.0
101,26,2,2582.37,1038.69,232.6800000000003,202.63999999999987,1,1,1.0
102,26,3,1358.98,1334.17,264.06999999999994,191.23,1,1,1.0
103,26,4,1424.64,1184.25,225.54999999999995,199.9000000000001,1,1,1.0
104,27,1,751.43,977.29,405.42,569.28,1,1,1.0
105,27,2,2573.51,1031.55,227.27,200.3500000000001,1,1,1.0
106,27,3,1352.7,1346.73,271.77,196.3699999999999,1,1,1.0
107,27,4,1421.22,1194.82,231.25,203.32000000000016,1,1,1.0
108,28,1,742.0,978.72,414.0,580.4100000000001,1,1,1.0
109,28,2,2564.66,1024.42,221.8500000000004,198.05999999999997,1,1,1.0
110,28,3,1346.42,1359.3,279.48,201.5,1,1,1.0
111,28,4,1417.79,1205.38,236.96000000000004,206.75,1,1,1.0
112,29,1,732.58,980.16,422.56000000000006,591.5400000000001,1,1,1.0
113,29,2,2555.81,1017.28,216.42999999999984,195.77,1,1,1.0
114,29,3,1340.14,1371.87,287.1899999999998,206.6300000000001,1,1,1.0
115,29,4,1414.37,1215.94,242.66000000000008,210.17999999999984,1,1,1.0
116,30,1,723.16,981.59,431.13,602.67,1,1,1.0
117,30,2,2546.95,1010.14,211.02,193.49000000000007,1,1,1.0
118,30,3,1333.86,1384.43,294.9000000000001,211.77,1,1,1.0
119,30,4,1410.94,1226.51,248.37999999999988,213.5999999999999,1,1,1.0
120,31,1,713.73,983.02,439.7000000000001,613.8,1,1,1.0
121,31,2,2538.1,1003.0,205.5999999999999,191.20000000000005,1,1,1.0
122,31,3,1327.58,1397.0,302.6100000000001,216.9000000000001,1,1,1.0
123,31,4,1407.51,1237.07,254.08999999999992,217.03,1,1,1.0
124,32,1,703.74,991.84,442.8299999999999,616.65,1,1,1.0
125,32,2,2529.25,997.29,205.5999999999999,191.20000000000005,1,1,1.0
126,32,3,1320.72,1414.99,306.6099999999999,222.8900000000001,1,1,1.0
127,32,4,1403.23,1250.49,257.79999999999995,221.30999999999997,1,1,1.0
128,33,1,693.75,1000.65,445.96,619.5200000000001,1,1,1.0
129,33,2,2520.4,991.58,205.5999999999999,191.19999999999996,1,1,1.0
130,33,3,1313.87,1432.97,310.60000000000014,228.88999999999987,1,1,1.0
131,33,4,1398.95,1263.91,261.51,225.58999999999992,1,1,1.0
132,34,1,683.76,1009.47,449.0799999999999,622.3699999999999,1,1,1.0
133,34,2,2511.55,985.87,205.5999999999999,191.19999999999996,1,1,1.0
134,34,3,1307.02,1450.96,314.5899999999999,234.87999999999988,1,1,1.0
135,34,4,1394.67,1277.33,265.22,229.8700000000001,1,1,1.0
136,35,1,673.76,1018.28,452.22,625.23,1,1,1.0
137,35,2,2502.7,980.16,205.6000000000004,191.19999999999996,1,1,1.0
138,35,3,1300.17,1468.95,318.5799999999999,240.8699999999999,1,1,1.0
139,35,4,1390.38,1290.75,268.9399999999998,234.1500000000001,1,1,1.0
140,36,1,663.77,1027.1,455.3499999999999,628.0800000000002,1,1,1.0
141,36,2,2493.85,974.45,205.5999999999999,191.20000000000005,1,1,1.0
142,36,3,1293.32,1486.93,322.5800000000001,246.8699999999999,1,1,1.0
143,36,4,1386.1,1304.16,272.6500000000001,238.43999999999983,1,1,1.0
144,37,1,653.78,1035.91,458.47,630.9499999999998,1,1,1.0
145,37,2,2485.0,968.74,205.5999999999999,191.20000000000005,1,1,1.0
146,37,3,1286.46,1504.92,326.5799999999999,252.8599999999999,1,1,1.0
147,37,4,1381.82,1317.58,276.3600000000001,242.72000000000003,1,1,1.0
148,38,1,643.78,1044.73,461.6100000000001,633.8,1,1,1.0
149,38,2,2476.15,963.03,205.5999999999999,191.20000000000005,1,1,1.0
150,38,3,1279.61,1522.91,330.57000000000016,258.8499999999999,1,1,1.0
151,38,4,1377.54,1331.0,280.06999999999994,247.0,1,1,1.0
152,39,1,633.79,1053.54,464.73,636.6600000000001,1,1,1.0
153,39,2,2467.3,957.32,205.5999999999999,191.19999999999996,1,1,1.0
154,39,3,1272.76,1540.89,334.55999999999995,264.8499999999999,1,1,1.0
155,39,4,1373.25,1344.42,283.79,251.28,1,1,1.0
156,40,1,623.8,1062.35,467.8600000000001,639.52,1,1,1.0
157,40,2,2458.45,951.61,205.59000000000012,191.19999999999996,1,1,1.0
158,40,3,1265.91,1558.88,338.54999999999995,270.8399999999999,1,1,1.0
159,40,4,1368.97,1357.84,287.5,255.56000000000017,1,1,1.0
160,41,5,3463.13,1622.5,376.8699999999999,365.44000000000005,1,1,1.0
161,41,1,613.8,1071.17,471.0,642.3799999999999,1,1,1.0
162,41,2,2449.59,945.9,205.5999999999999,191.19999999999996,1,1,1.0
163,41,3,1259.06,1576.87,342.54,276.8300000000001,1,1,1.0
164,41,4,1364.69,1371.26,291.21000000000004,259.8399999999999,1,1,1.0
165,42,5,3434.58,1600.8,376.8699999999999,365.44000000000005,1,1,1.0
166,42,1,595.7,1076.88,484.1099999999999,657.25,1,1,1.0
167,42,2,2443.03,943.33,201.30999999999997,187.4899999999999,1,1,1.0
168,42,3,1238.5,1607.13,356.81999999999994,276.8299999999999,1,1,1.0
169,42,4,1358.98,1390.96,295.21000000000004,270.1199999999999,1,1,1.0
170,43,5,3406.03,1579.1,376.8699999999999,365.4500000000001,1,1,1.0
171,43,1,577.6,1082.59,497.2099999999999,672.1200000000001,1,1,1.0
172,43,2,2436.46,940.76,197.04,183.78,1,1,1.0
173,43,3,1217.94,1637.39,371.0999999999999,276.8399999999999,1,1,1.0
174,43,4,1353.27,1410.66,299.21000000000004,280.39999999999986,1,1,1.0
175,44,5,3377.48,1557.41,376.8699999999999,365.4399999999998,1,1,1.0
176,44,1,559.49,1088.29,510.3299999999999,687.01,1,1,1.0
177,44,2,2429.89,938.19,192.76000000000025,180.06999999999994,1,1,1.0
178,44,3,1197.39,1667.66,385.3699999999999,276.8299999999999,1,1,1.0
179,44,4,1347.56,1430.36,303.21000000000004,290.68000000000006,1,1,1.0
180,45,5,3348.93,1535.71,376.8700000000004,365.44000000000005,1,1,1.0
181,45,1,541.39,1094.0,523.4399999999999,701.8800000000001,1,1,1.0
182,45,2,2423.32,935.62,188.48,176.36,1,1,1.0
183,45,3,1176.83,1697.92,399.6500000000001,276.8299999999999,1,1,1.0
184,45,4,1341.85,1450.06,307.21000000000004,300.96000000000004,1,1,1.0
185,46,5,3320.38,1514.01,376.8699999999999,365.44000000000005,1,1,1.0
186,46,1,523.29,1099.71,536.55,716.75,1,1,1.0
